Processor,Time,Bags
BELT 4,1:31:00 AM,0
BELT 3,1:31:00 AM,0
BELT 1,1:32:00 AM,0
BELT 2,1:32:00 AM,0
BELT 4,1:32:00 AM,0
BELT 3,1:32:00 AM,0
BELT 1,1:33:00 AM,0
BELT 2,1:33:00 AM,0
BELT 4,1:33:00 AM,0
BELT 3,1:33:00 AM,0
BELT 1,1:34:00 AM,0
BELT 2,1:34:00 AM,0
BELT 4,1:34:00 AM,0
BELT 3,1:34:00 AM,0
BELT 1,1:35:00 AM,0
BELT 2,1:35:00 AM,0
BELT 4,1:35:00 AM,0
BELT 3,1:35:00 AM,0
BELT 1,1:36:00 AM,0
BELT 2,1:36:00 AM,0
BELT 4,1:36:00 AM,0
BELT 3,1:36:00 AM,0
BELT 1,1:37:00 AM,0
BELT 2,1:37:00 AM,0
BELT 4,1:37:00 AM,0
BELT 3,1:37:00 AM,0
BELT 1,1:38:00 AM,0
BELT 2,1:38:00 AM,0
BELT 4,1:38:00 AM,0
BELT 3,1:38:00 AM,0
BELT 1,1:39:00 AM,0
BELT 2,1:39:00 AM,0
BELT 4,1:39:00 AM,0
BELT 3,1:39:00 AM,0
BELT 1,1:40:00 AM,0
BELT 2,1:40:00 AM,0
BELT 4,1:40:00 AM,0
BELT 3,1:40:00 AM,0
BELT 1,1:41:00 AM,0
BELT 2,1:41:00 AM,0
BELT 4,1:41:00 AM,0
BELT 3,1:41:00 AM,0
BELT 1,1:42:00 AM,0
BELT 2,1:42:00 AM,0
BELT 4,1:42:00 AM,0
BELT 3,1:42:00 AM,0
BELT 1,1:43:00 AM,0
BELT 2,1:43:00 AM,0
BELT 4,1:43:00 AM,0
BELT 3,1:43:00 AM,0
BELT 1,1:44:00 AM,0
BELT 2,1:44:00 AM,0
BELT 4,1:44:00 AM,0
BELT 3,1:44:00 AM,0
BELT 1,1:45:00 AM,0
BELT 2,1:45:00 AM,0
BELT 4,1:45:00 AM,0
BELT 3,1:45:00 AM,0
BELT 1,1:46:00 AM,0
BELT 2,1:46:00 AM,0
BELT 4,1:46:00 AM,0
BELT 3,1:46:00 AM,0
BELT 1,1:47:00 AM,0
BELT 2,1:47:00 AM,0
BELT 4,1:47:00 AM,0
BELT 3,1:47:00 AM,0
BELT 1,1:48:00 AM,0
BELT 2,1:48:00 AM,0
BELT 4,1:48:00 AM,0
BELT 3,1:48:00 AM,0
